NUTS_CODE,NUTS_BN_CODE
AT111,2029
AT111,2034
AT111,2104
AT111,2108
AT111,2109
AT112,2175
AT112,2209
AT112,2247
AT112,2248
AT113,1882
AT113,1998
AT113,2015
AT113,2033
AT121,2140
AT121,2150
AT121,2177
AT121,2237
AT121,2291
AT121,2315
AT121,2326
AT121,2327
AT122,2071
AT122,2162
AT122,2230
AT122,2231
AT123,2260
AT123,2329
AT123,2330
AT124,2361
AT124,2384
AT124,2481
AT124,2495
AT124,2525
AT125,2375
AT125,2391
AT125,2406
AT125,2490
AT126,2268
AT126,2271
AT126,2314
AT126,2343
AT127,2269
AT127,2272
AT211,1821
AT211,1827
AT211,1851
AT211,1862
AT212,1834
AT212,1841
AT212,1892
AT212,1893
AT212,1935
AT212,1937
AT212,1942
AT213,1804
AT213,1808
AT213,1836
AT213,1922
AT213,1928
AT221,1964
AT221,1968
AT221,1995
AT221,1996
AT222,1985
AT222,2037
AT222,2042
AT222,2131
AT222,2138
AT222,2145
AT223,2016
AT223,2072
AT224,1847
AT224,1872
AT224,1911
AT225,1840
AT225,1846
AT225,1963
AT226,1974
AT311,2221
AT311,2242
AT311,2251
AT311,2281
AT311,2309
AT311,2339
AT311,2368
AT311,2380
AT311,2388
AT311,2389
AT312,2246
AT312,2254
AT312,2359
AT313,2431
AT313,2448
AT313,2449
AT314,2207
AT315,2048
AT315,2210
AT321,1984
AT322,1932
AT322,1949
AT322,2061
AT322,2101
AT322,2114
AT322,2115
AT323,2195
AT323,2205
AT331,1978
AT331,2007
AT331,2055
AT331,2062
AT331,2067
AT332,1915
AT332,2009
AT332,2026
AT332,2031
AT333,1844
AT333,1930
AT334,1896
AT334,1910
AT334,1952
AT334,2008
AT335,1931
AT335,2047
AT335,2082
AT335,2096
AT335,2127
AT335,2134
AT341,1927
AT341,1948
AT341,2044
AT341,2049
AT342,1980
AT342,2057
AT342,2058
AT342,2078
BE100,3153
BE100,3191
BE211,3354
BE211,3441
BE211,3454
BE211,3457
BE211,3489
BE211,3514
BE212,3263
BE212,3264
BE212,3317
BE212,3328
BE212,3355
BE213,3265
BE213,3339
BE213,3388
BE213,3492
BE213,3543
BE213,3544
BE221,3094
BE221,3242
BE221,3261
BE221,3340
BE222,3246
BE222,3278
BE222,3372
BE222,3398
BE223,3100
BE223,3104
BE223,3117
BE223,3127
BE223,3148
BE223,3224
BE231,3107
BE231,3193
BE231,3222
BE231,3231
BE231,3233
BE232,3262
BE232,3291
BE232,3331
BE233,3367
BE233,3391
BE233,3396
BE234,3195
BE234,3212
BE234,3316
BE234,3344
BE234,3373
BE234,3374
BE235,3106
BE235,3122
BE235,3126
BE235,3187
BE236,3433
BE236,3440
BE241,3098
BE241,3119
BE241,3145
BE241,3239
BE242,3110
BE242,3139
BE251,3277
BE251,3285
BE251,3315
BE251,3401
BE251,3449
BE251,3450
BE252,3225
